Sr. No.,State,Hon'ble Members of Parliament,Constituency,Allocated Amount (₹)
1,Karnataka,R. Krishnamurthy,Bengaluru South,73421449
2,Karnataka,V. Balasubramanian,Bengaluru North,51000000
3,Karnataka,Meena Iyer,Bengaluru Central,49500000
4,Maharashtra,Sunita Deshmukh,Pune,147000000
5,Maharashtra,Prakash Jadhav,Nagpur,98000000
6,Tamil Nadu,A. Ramesh,Coimbatore,112500000
7,Tamil Nadu,Farida Khan,Chennai South,87000000
8,Tamil Nadu,T. Suresh Babu,Madurai,49000000
9,Karnataka,R. Krishnamurthy,Bengaluru South,73421449
10,Maharashtra,Anil Deshmukh,Amravati,25000
11,Karnataka,,Belagavi,60000000
12,,Deepa Nair,Mysuru,55000000
13,Gujarat,Nitin Patel,Surat,N/A
14,Gujarat,Kiran Chauhan,Vadodara,-500000
