Work ID,Work Name,State,District,Category,Status,Sanction Date,Start Date,Expected Duration Days,Physical Progress,Financial Progress,Sanctioned Amount (₹),Expenditure (₹),Latitude,Longitude,Implementing Agency,MP Name,Location
CAGV-001-A,Construction of office building for cooperative society at Ward 4,Karnataka,Bengaluru Urban,Community Infrastructure,In Progress,2025-03-10,2025-04-05,300,35,30,3500000,1200000,12.95000,77.60000,Public Works Department,S. Rao,Ward 4 Bengaluru Urban
CAGV-003-A,Construction of anganwadi building at Ward 9,Karnataka,Bengaluru Urban,Education,In Progress,2025-03-03,2025-04-01,270,12,18,2800000,500000,12.96000,77.61000,Zilla Panchayat Engineering Division,S. Rao,Ward 9 Bengaluru Urban
CAGV-004-A,Providing overhead water tank at Ward 14,Karnataka,Bengaluru Urban,Drinking Water,In Progress,2025-05-12,2025-06-01,300,20,82,2400000,1900000,12.97000,77.62000,District Rural Development Agency,S. Rao,Ward 14 Bengaluru Urban
CAGV-006-A,Construction of sports hall at Ward 21,Karnataka,Bengaluru Urban,Community Infrastructure,In Progress,2025-01-20,2025-02-10,365,25,78,6200000,6150000,12.98000,77.63000,Public Works Department,S. Rao,Ward 21 Bengaluru Urban
CAGV-007-A,Construction of community hall at Gandhi Nagar Ward 12,Karnataka,Bengaluru Urban,Community Infrastructure,In Progress,2025-04-10,2025-05-15,365,32,84,3870000,3250000,12.97620,77.59930,Zilla Panchayat Engineering Division,S. Rao,Gandhi Nagar Ward 12
CAGV-007-B,Construction of community hall building at Gandhi Nagar Ward 12,Karnataka,Bengaluru Urban,Community Infrastructure,In Progress,2025-05-02,2025-06-10,365,35,80,3820000,3100000,12.97624,77.59935,Zilla Panchayat Engineering Division,S. Rao,Gandhi Nagar Ward 12
CAGV-008-A,Construction of library block at Ward 3,Karnataka,Bengaluru Urban,Education,In Progress,2025-02-15,2025-03-10,300,40,42,2200000,900000,12.99000,77.64000,Sri Deva Trust for Rural Development,S. Rao,Ward 3 Bengaluru Urban
CAGV-BASE-01,Construction of additional classrooms at Government High School,Karnataka,Bengaluru Urban,Education,In Progress,2026-04-12,2026-05-01,300,85,88,4800000,4100000,13.01000,77.57000,Zilla Panchayat Engineering Division,S. Rao,Government High School Ward 8
CAGV-BASE-02,Upgradation of primary health centre building,Karnataka,Bengaluru Urban,Health,In Progress,2026-02-03,2026-03-01,300,90,92,7200000,6800000,13.02000,77.56000,Municipal Corporation,S. Rao,PHC Ward 16
CAGV-BASE-03,Providing overhead water tank at Ward 14 extension,Karnataka,Bengaluru Urban,Drinking Water,In Progress,2026-06-20,2026-07-05,300,60,55,2600000,1900000,13.03000,77.55000,District Rural Development Agency,S. Rao,Ward 14 extension
CAGV-BASE-04,Cement concrete road from Main Road to School,Karnataka,Bengaluru Urban,Roads,In Progress,2026-08-05,2026-09-01,270,30,35,3500000,1200000,13.04000,77.54000,Zilla Panchayat Engineering Division,S. Rao,Main Road to School
CAGV-BASE-05,Community centre construction at Ward 7,Karnataka,Bengaluru Urban,Community Infrastructure,In Progress,2026-01-15,2026-02-10,420,100,100,5400000,5300000,13.05000,77.53000,Municipal Corporation,S. Rao,Ward 7 Bengaluru Urban
CAGV-BASE-06,Anganwadi building construction at Gandhi Colony,Karnataka,Bengaluru Urban,Education,In Progress,2026-09-01,2026-09-20,300,0,0,4100000,0,13.06000,77.52000,District Rural Development Agency,S. Rao,Gandhi Colony
CAGV-BASE-07,Drainage system improvement at Old Town,Karnataka,Bengaluru Urban,Sanitation,In Progress,2026-05-18,2026-06-10,300,35,33,6300000,2100000,13.07000,77.51000,Public Works Department,S. Rao,Old Town Bengaluru Urban
CAGV-BASE-08,School library furnishing at Ward 5,Karnataka,Bengaluru Urban,Education,In Progress,2026-07-22,2026-08-15,300,45,50,1800000,800000,13.08000,77.50000,Zilla Panchayat Engineering Division,S. Rao,School Ward 5
CAGV-BASE-09,Science laboratory construction at Government School Ward 8,Karnataka,Bengaluru Urban,Education,In Progress,2026-03-25,2026-04-20,300,55,58,3200000,1900000,13.09000,77.49000,Zilla Panchayat Engineering Division,S. Rao,Government School Ward 8
CAGV-BASE-10,Village reading room construction at Ward 11,Karnataka,Bengaluru Urban,Community Infrastructure,In Progress,2026-06-05,2026-07-01,300,50,48,2900000,1400000,13.10000,77.48000,District Rural Development Agency,S. Rao,Village reading room Ward 11
